MetricSet	SymbolName	ShortName	Group	LongName
L1ProfileReads	AvgGpuCoreFrequencyMHz	AVG GPU Core Frequency	GPU	Average GPU Core Frequency in the measurement.
L1ProfileReads	LOAD_STORE_CACHE_BYTE_READ	Load Store Cache Byte Read	L1Cache	Number of bytes read out of the Load Store Cache, excluding SLM accesses.
L1ProfileReads	SLM_BYTE_READ	SLM Byte Read	L1Cache	Number of bytes read from SLM
L1ProfileReads	GPU_MEMORY_BYTE_READ	GPU Memory Byte Read	Memory	Number of device local memory (HBM, GDDR, LPDDR, etc.) read bytes
L1ProfileReads	GPU_MEMORY_BYTE_WRITE	GPU Memory Byte Write	Memory	Number of device local memory (HBM, GDDR, LPDDR, etc.) write bytes
L1ProfileReads	XVE_ACTIVE	XVE Active	VectorEngine	Percentage of time in which at least one pipe is active in XVE
L1ProfileReads	XVE_STALL	XVE Stall	VectorEngine	Percentage of time in which any threads are loaded but not even a single pipe is active in XVE
L1ProfileReads	XVE_BUSY	XVE Busy	VectorEngine	Any XVE thread loaded.
L1ProfileReads	XVE_THREADS_OCCUPANCY_ALL	XVE Threads Occupancy All	VectorEngine	Percentage of thread slots occupied
L1ProfileReads	XVE_COMPUTE_THREAD_COUNT	XVE Compute Thread Count	VectorEngine	Number of compute shader hardware threads dispatched
L1ProfileReads	GpuTime	GPU Time Elapsed	GPU	Time elapsed on the GPU during the measurement.
L1ProfileReads	GpuCoreClocks	GPU Core Clocks	GPU	The total number of GPU core clocks elapsed during the measurement.
L1ProfileReads	AvgGpuCoreFrequencyMHz	AVG GPU Core Frequency	GPU	Average GPU Core Frequency in the measurement.
L1ProfileReads	LOAD_STORE_CACHE_BYTE_READ	Load Store Cache Byte Read	L1Cache	Number of bytes read out of the Load Store Cache, excluding SLM accesses.
L1ProfileReads	SLM_BYTE_READ	SLM Byte Read	L1Cache	Number of bytes read from SLM
L1ProfileReads	GPU_MEMORY_BYTE_READ	GPU Memory Byte Read	Memory	Number of device local memory (HBM, GDDR, LPDDR, etc.) read bytes
L1ProfileReads	GPU_MEMORY_BYTE_WRITE	GPU Memory Byte Write	Memory	Number of device local memory (HBM, GDDR, LPDDR, etc.) write bytes
L1ProfileReads	XVE_ACTIVE	XVE Active	VectorEngine	Percentage of time in which at least one pipe is active in XVE
L1ProfileReads	XVE_STALL	XVE Stall	VectorEngine	Percentage of time in which any threads are loaded but not even a single pipe is active in XVE
L1ProfileReads	XVE_BUSY	XVE Busy	VectorEngine	Any XVE thread loaded.
L1ProfileReads	XVE_THREADS_OCCUPANCY_ALL	XVE Threads Occupancy All	VectorEngine	Percentage of thread slots occupied
L1ProfileReads	XVE_COMPUTE_THREAD_COUNT	XVE Compute Thread Count	VectorEngine	Number of compute shader hardware threads dispatched
L1ProfileSlmBankConflicts	GpuTime	GPU Time Elapsed	GPU	Time elapsed on the GPU during the measurement.
L1ProfileSlmBankConflicts	GpuCoreClocks	GPU Core Clocks	GPU	The total number of GPU core clocks elapsed during the measurement.
L1ProfileSlmBankConflicts	AvgGpuCoreFrequencyMHz	AVG GPU Core Frequency	GPU	Average GPU Core Frequency in the measurement.
L1ProfileSlmBankConflicts	SLM_BANK_CONFLICT_COUNT	SLM Bank Conflict Count	L1Cache	Number of SLM accesses resulting in a bank conflict.
L1ProfileSlmBankConflicts	GPU_MEMORY_BYTE_READ	GPU Memory Byte Read	Memory	Number of device local memory (HBM, GDDR, LPDDR, etc.) read bytes
L1ProfileSlmBankConflicts	GPU_MEMORY_BYTE_WRITE	GPU Memory Byte Write	Memory	Number of device local memory (HBM, GDDR, LPDDR, etc.) write bytes
L1ProfileSlmBankConflicts	XVE_ACTIVE	XVE Active	VectorEngine	Percentage of time in which at least one pipe is active in XVE
L1ProfileSlmBankConflicts	XVE_STALL	XVE Stall	VectorEngine	Percentage of time in which any threads are loaded but not even a single pipe is active in XVE
L1ProfileSlmBankConflicts	XVE_BUSY	XVE Busy	VectorEngine	Any XVE thread loaded.
L1ProfileSlmBankConflicts	XVE_THREADS_OCCUPANCY_ALL	XVE Threads Occupancy All	VectorEngine	Percentage of thread slots occupied
L1ProfileSlmBankConflicts	XVE_COMPUTE_THREAD_COUNT	XVE Compute Thread Count	VectorEngine	Number of compute shader hardware threads dispatched
L1ProfileSlmBankConflicts	GpuTime	GPU Time Elapsed	GPU	Time elapsed on the GPU during the measurement.
L1ProfileSlmBankConflicts	GpuCoreClocks	GPU Core Clocks	GPU	The total number of GPU core clocks elapsed during the measurement.
L1ProfileSlmBankConflicts	AvgGpuCoreFrequencyMHz	AVG GPU Core Frequency	GPU	Average GPU Core Frequency in the measurement.
L1ProfileSlmBankConflicts	SLM_BANK_CONFLICT_COUNT	SLM Bank Conflict Count	L1Cache	Number of SLM accesses resulting in a bank conflict.
L1ProfileSlmBankConflicts	GPU_MEMORY_BYTE_READ	GPU Memory Byte Read	Memory	Number of device local memory (HBM, GDDR, LPDDR, etc.) read bytes
L1ProfileSlmBankConflicts	GPU_MEMORY_BYTE_WRITE	GPU Memory Byte Write	Memory	Number of device local memory (HBM, GDDR, LPDDR, etc.) write bytes
L1ProfileSlmBankConflicts	XVE_ACTIVE	XVE Active	VectorEngine	Percentage of time in which at least one pipe is active in XVE
L1ProfileSlmBankConflicts	XVE_STALL	XVE Stall	VectorEngine	Percentage of time in which any threads are loaded but not even a single pipe is active in XVE
L1ProfileSlmBankConflicts	XVE_BUSY	XVE Busy	VectorEngine	Any XVE thread loaded.
L1ProfileSlmBankConflicts	XVE_THREADS_OCCUPANCY_ALL	XVE Threads Occupancy All	VectorEngine	Percentage of thread slots occupied
L1ProfileSlmBankConflicts	XVE_COMPUTE_THREAD_COUNT	XVE Compute Thread Count	VectorEngine	Number of compute shader hardware threads dispatched
L1ProfileWrites	GpuTime	GPU Time Elapsed	GPU	Time elapsed on the GPU during the measurement.
L1ProfileWrites	GpuCoreClocks	GPU Core Clocks	GPU	The total number of GPU core clocks elapsed during the measurement.
L1ProfileWrites	AvgGpuCoreFrequencyMHz	AVG GPU Core Frequency	GPU	Average GPU Core Frequency in the measurement.
L1ProfileWrites	LOAD_STORE_CACHE_BYTE_WRITE	Load Store Cache Byte Write	L1Cache	Number of bytes written to the Load Store Cache, excluding SLM accesses.
L1ProfileWrites	SLM_BYTE_WRITE	SLM Byte Write	L1Cache	Number of bytes written to SLM
L1ProfileWrites	GPU_MEMORY_BYTE_READ	GPU Memory Byte Read	Memory	Number of device local memory (HBM, GDDR, LPDDR, etc.) read bytes
L1ProfileWrites	GPU_MEMORY_BYTE_WRITE	GPU Memory Byte Write	Memory	Number of device local memory (HBM, GDDR, LPDDR, etc.) write bytes
L1ProfileWrites	XVE_ACTIVE	XVE Active	VectorEngine	Percentage of time in which at least one pipe is active in XVE
L1ProfileWrites	XVE_STALL	XVE Stall	VectorEngine	Percentage of time in which any threads are loaded but not even a single pipe is active in XVE
L1ProfileWrites	XVE_BUSY	XVE Busy	VectorEngine	Any XVE thread loaded.
L1ProfileWrites	XVE_THREADS_OCCUPANCY_ALL	XVE Threads Occupancy All	VectorEngine	Percentage of thread slots occupied
L1ProfileWrites	XVE_COMPUTE_THREAD_COUNT	XVE Compute Thread Count	VectorEngine	Number of compute shader hardware threads dispatched
L1ProfileWrites	GpuTime	GPU Time Elapsed	GPU	Time elapsed on the GPU during the measurement.
L1ProfileWrites	GpuCoreClocks	GPU Core Clocks	GPU	The total number of GPU core clocks elapsed during the measurement.
L1ProfileWrites	AvgGpuCoreFrequencyMHz	AVG GPU Core Frequency	GPU	Average GPU Core Frequency in the measurement.
L1ProfileWrites	LOAD_STORE_CACHE_BYTE_WRITE	Load Store Cache Byte Write	L1Cache	Number of bytes written to the Load Store Cache, excluding SLM accesses.
L1ProfileWrites	SLM_BYTE_WRITE	SLM Byte Write	L1Cache	Number of bytes written to SLM
L1ProfileWrites	GPU_MEMORY_BYTE_READ	GPU Memory Byte Read	Memory	Number of device local memory (HBM, GDDR, LPDDR, etc.) read bytes
L1ProfileWrites	GPU_MEMORY_BYTE_WRITE	GPU Memory Byte Write	Memory	Number of device local memory (HBM, GDDR, LPDDR, etc.) write bytes
L1ProfileWrites	XVE_ACTIVE	XVE Active	VectorEngine	Percentage of time in which at least one pipe is active in XVE
L1ProfileWrites	XVE_STALL	XVE Stall	VectorEngine	Percentage of time in which any threads are loaded but not even a single pipe is active in XVE
L1ProfileWrites	XVE_BUSY	XVE Busy	VectorEngine	Any XVE thread loaded.
L1ProfileWrites	XVE_THREADS_OCCUPANCY_ALL	XVE Threads Occupancy All	VectorEngine	Percentage of thread slots occupied
L1ProfileWrites	XVE_COMPUTE_THREAD_COUNT	XVE Compute Thread Count	VectorEngine	Number of compute shader hardware threads dispatched
TestOa	GpuTime	GPU Time Elapsed	GPU	Time elapsed on the GPU during the measurement.
TestOa	GpuCoreClocks	GPU Core Clocks	GPU	The total number of GPU core clocks elapsed during the measurement.
TestOa	AvgGpuCoreFrequencyMHz	AVG GPU Core Frequency	GPU	Average GPU Core Frequency in the measurement.
TestOa	Counter0	TestCounter0	GPU	HW test counter 0. Factor: 0.0
TestOa	Counter1	TestCounter1	GPU	HW test counter 1. Factor: 1.0
TestOa	Counter2	TestCounter2	GPU	HW test counter 2. Factor: 1.0
TestOa	Counter3	TestCounter3	GPU	HW test counter 3. Factor: 0.5
TestOa	Counter4	TestCounter4	GPU	HW test counter 4. Factor: 0.3333
TestOa	Counter5	TestCounter5	GPU	HW test counter 5. Factor: 0.3333
TestOa	Counter6	TestCounter6	GPU	HW test counter 6. Factor: 0.16666
TestOa	Counter7	TestCounter7	GPU	HW test counter 7. Factor: 0.6666
TestOa	Counter8	TestCounter8	GPU	HW test counter 8. Should be equal to 1 in IOStream or in OAG query mode
Ext1	GpuTime	GPU Time Elapsed	GPU	Time elapsed on the GPU during the measurement.
