MetricSet	SymbolName	ShortName	Group	LongName
DepthPipe47	HIZ_DEPTH_TEST_PASS_P_ZPIPE6	HiZ Depth Test Pass P Zpipe6	DepthPipe	Number of promoted 2x2 passed by hierarchical depth test
DepthPipe48	GpuTime	GPU Time Elapsed	GPU	Time elapsed on the GPU during the measurement.
DepthPipe48	GpuCoreClocks	GPU Core Clocks	GPU	The total number of GPU core clocks elapsed during the measurement.
DepthPipe48	AvgGpuCoreFrequencyMHz	AVG GPU Core Frequency	GPU	Average GPU Core Frequency in the measurement.
DepthPipe48	HIZ_DEPTH_TEST_PASS_P_ZPIPE7	HiZ Depth Test Pass P Zpipe7	DepthPipe	Number of promoted 2x2 passed by hierarchical depth test
DepthPipe49	GpuTime	GPU Time Elapsed	GPU	Time elapsed on the GPU during the measurement.
DepthPipe49	GpuCoreClocks	GPU Core Clocks	GPU	The total number of GPU core clocks elapsed during the measurement.
DepthPipe49	AvgGpuCoreFrequencyMHz	AVG GPU Core Frequency	GPU	Average GPU Core Frequency in the measurement.
DepthPipe49	HIZ_SUBSPAN_LATENCY_FIFOFULL_ZPIPE0	HiZ Subspan Latency Fifofull Zpipe0	DepthPipe	Percentage of time in which HiZ latency hiding structure full
DepthPipe49	HIZ_SUBSPAN_LATENCY_FIFOFULL_ZPIPE1	HiZ Subspan Latency Fifofull Zpipe1	DepthPipe	Percentage of time in which HiZ latency hiding structure full
DepthPipe49	HIZ_SUBSPAN_LATENCY_FIFOFULL_ZPIPE2	HiZ Subspan Latency Fifofull Zpipe2	DepthPipe	Percentage of time in which HiZ latency hiding structure full
DepthPipe49	HIZ_SUBSPAN_LATENCY_FIFOFULL_ZPIPE3	HiZ Subspan Latency Fifofull Zpipe3	DepthPipe	Percentage of time in which HiZ latency hiding structure full
DepthPipe49	HIZ_SUBSPAN_LATENCY_FIFOFULL_ZPIPE4	HiZ Subspan Latency Fifofull Zpipe4	DepthPipe	Percentage of time in which HiZ latency hiding structure full
DepthPipe49	HIZ_SUBSPAN_LATENCY_FIFOFULL_ZPIPE5	HiZ Subspan Latency Fifofull Zpipe5	DepthPipe	Percentage of time in which HiZ latency hiding structure full
DepthPipe49	HIZ_SUBSPAN_LATENCY_FIFOFULL_ZPIPE6	HiZ Subspan Latency Fifofull Zpipe6	DepthPipe	Percentage of time in which HiZ latency hiding structure full
DepthPipe49	HIZ_SUBSPAN_LATENCY_FIFOFULL_ZPIPE7	HiZ Subspan Latency Fifofull Zpipe7	DepthPipe	Percentage of time in which HiZ latency hiding structure full
DepthPipe49	IZ_SUBSPAN_LATENCY_FIFOFULL_ZPIPE0	IZ Subspan Latency Fifofull Zpipe0	DepthPipe	Percentage of time in which IZ latency hiding structure full
DepthPipe49	IZ_SUBSPAN_LATENCY_FIFOFULL_ZPIPE1	IZ Subspan Latency Fifofull Zpipe1	DepthPipe	Percentage of time in which IZ latency hiding structure full
DepthPipe49	IZ_SUBSPAN_LATENCY_FIFOFULL_ZPIPE2	IZ Subspan Latency Fifofull Zpipe2	DepthPipe	Percentage of time in which IZ latency hiding structure full
DepthPipe49	IZ_SUBSPAN_LATENCY_FIFOFULL_ZPIPE3	IZ Subspan Latency Fifofull Zpipe3	DepthPipe	Percentage of time in which IZ latency hiding structure full
DepthPipe49	IZ_SUBSPAN_LATENCY_FIFOFULL_ZPIPE4	IZ Subspan Latency Fifofull Zpipe4	DepthPipe	Percentage of time in which IZ latency hiding structure full
DepthPipe49	IZ_SUBSPAN_LATENCY_FIFOFULL_ZPIPE5	IZ Subspan Latency Fifofull Zpipe5	DepthPipe	Percentage of time in which IZ latency hiding structure full
DepthPipe49	IZ_SUBSPAN_LATENCY_FIFOFULL_ZPIPE6	IZ Subspan Latency Fifofull Zpipe6	DepthPipe	Percentage of time in which IZ latency hiding structure full
DepthPipe49	IZ_SUBSPAN_LATENCY_FIFOFULL_ZPIPE7	IZ Subspan Latency Fifofull Zpipe7	DepthPipe	Percentage of time in which IZ latency hiding structure full
DepthPipe50	GpuTime	GPU Time Elapsed	GPU	Time elapsed on the GPU during the measurement.
DepthPipe50	GpuCoreClocks	GPU Core Clocks	GPU	The total number of GPU core clocks elapsed during the measurement.
DepthPipe50	AvgGpuCoreFrequencyMHz	AVG GPU Core Frequency	GPU	Average GPU Core Frequency in the measurement.
DepthPipe50	IZ_OUTPUT_READY_ZPIPE0	IZ Output Ready Zpipe0	DepthPipe	Percentage of time in which IZ has requests to different clients
DepthPipe50	IZ_OUTPUT_READY_ZPIPE1	IZ Output Ready Zpipe1	DepthPipe	Percentage of time in which IZ has requests to different clients
DepthPipe50	IZ_OUTPUT_READY_ZPIPE2	IZ Output Ready Zpipe2	DepthPipe	Percentage of time in which IZ has requests to different clients
DepthPipe50	IZ_OUTPUT_READY_ZPIPE3	IZ Output Ready Zpipe3	DepthPipe	Percentage of time in which IZ has requests to different clients
DepthPipe50	IZ_OUTPUT_READY_ZPIPE4	IZ Output Ready Zpipe4	DepthPipe	Percentage of time in which IZ has requests to different clients
DepthPipe50	IZ_OUTPUT_READY_ZPIPE5	IZ Output Ready Zpipe5	DepthPipe	Percentage of time in which IZ has requests to different clients
DepthPipe50	IZ_OUTPUT_READY_ZPIPE6	IZ Output Ready Zpipe6	DepthPipe	Percentage of time in which IZ has requests to different clients
DepthPipe50	IZ_OUTPUT_READY_ZPIPE7	IZ Output Ready Zpipe7	DepthPipe	Percentage of time in which IZ has requests to different clients
FrontEnd1	GpuTime	GPU Time Elapsed	GPU	Time elapsed on the GPU during the measurement.
FrontEnd1	GpuCoreClocks	GPU Core Clocks	GPU	The total number of GPU core clocks elapsed during the measurement.
FrontEnd1	AvgGpuCoreFrequencyMHz	AVG GPU Core Frequency	GPU	Average GPU Core Frequency in the measurement.
FrontEnd1	COMMAND_PARSER_COMPUTE_ENGINE_BUSY_CCS0	Command Parser Compute Engine Busy Ccs0	FrontEnd	Percentage of time in which there is a context loaded and active on the compute queue
FrontEnd1	COMMAND_PARSER_COMPUTE_ENGINE_BUSY_CCS1	Command Parser Compute Engine Busy Ccs1	FrontEnd	Percentage of time in which there is a context loaded and active on the compute queue
FrontEnd1	COMMAND_PARSER_COMPUTE_ENGINE_BUSY	Command Parser Compute Engine Busy	FrontEnd	Percentage of time in which there is a context loaded and active on the compute queue
FrontEnd1	COMMAND_PARSER_RENDER_ENGINE_BUSY	Command Parser Render Engine Busy	FrontEnd	Percentage of time in which there is a context loaded and active on the 3D queue
FrontEnd1	COMMAND_PARSER_COPY_ENGINE_BUSY	Command Parser Copy Engine Busy	FrontEnd	Percentage of time in which there is a context loaded and active on the copy queue.
FrontEnd1	COMMAND_PARSER_VIDEO_ENGINE_BUSY_VDBOX0	Command Parser Video Engine Busy Vdbox0	FrontEnd	Percentage of time in which there is a context loaded and active on the media queue
FrontEnd1	COMMAND_PARSER_VIDEO_ENGINE_BUSY_VDBOX1	Command Parser Video Engine Busy Vdbox1	FrontEnd	Percentage of time in which there is a context loaded and active on the media queue
FrontEnd1	COMMAND_PARSER_VIDEO_ENHANCEMENT_ENGINE_BUSY_VEBOX0	Command Parser Video Enhancement Engine Busy Vebox0	FrontEnd	Percentage of time in which there is a context loaded and active on the video enhancement queue
FrontEnd1	COMMAND_PARSER_VIDEO_ENHANCEMENT_ENGINE_BUSY_VEBOX1	Command Parser Video Enhancement Engine Busy Vebox1	FrontEnd	Percentage of time in which there is a context loaded and active on the video enhancement queue
